case,num_tasks,dit_forward_s_mean,dit_forward_s_min,dit_forward_s_max,psnr_mean,ssim_mean,one_minus_lpips_mean,hpsv3_score_mean,speedup_vs_origin
origin_flash,9,16.971853378642763,16.965190216898918,16.975729518570006,inf,1.0,1.0,12.26440397898356,1.0
sage,9,14.591378519208067,14.590395925566554,14.592079494148493,29.587182862257514,0.9677279260423448,0.9749801132000155,12.258009910583496,1.1631425609513895
sparge,9,14.575739183152715,14.567055653780699,14.606643720529974,15.938040864063057,0.6544404195414649,0.6929866406652663,11.741784731547037,1.1643905784386965
torch_sdpa_math,9,35.0561150620795,35.05108602717519,35.05984081327915,36.145994893582234,0.9902804096539816,0.9928560730574342,12.209143532647026,0.4841338907231441
