case,num_tasks,psnr_mean,ssim_mean,one_minus_lpips_mean,hpsv3_score_mean
origin_flash,9,inf,1.0,1.0,12.26440397898356
sage,9,29.587182862257514,0.9677279260423448,0.9749801132000155,12.258009910583496
sparge,9,15.938040864063057,0.6544404195414649,0.6929866406652663,11.741784731547037
torch_sdpa_math,9,36.145994893582234,0.9902804096539816,0.9928560730574342,12.209143532647026
